currency_from,currency_to,exchange_rate
btc,eth,28.959952
btc,btc,1.0
btc,ltc,1085.0
btc,xrp,43915.0
btc,bch,157.479
btc,eos,502762.0
btc,sol,680.036
btc,dot,42754.0
btc,link,6547.0
btc,xlm,376849.0
bch,eth,0.18387249
bch,btc,0.00634874
bch,ltc,6.89153
bch,xrp,278.824
bch,bch,1.0
bch,eos,3192.0
bch,sol,4.317681
bch,dot,271.453
bch,link,41.565973
bch,xlm,2393.0
ada,eth,0.00013701
ada,btc,4.73e-06
ada,ltc,0.00513503
ada,xrp,0.2077576
ada,bch,0.00074502
ada,eos,2.378531
ada,sol,0.0032172
ada,dot,0.20226573
ada,link,0.03097173
ada,xlm,1.782845
link,eth,0.00442322
link,btc,0.00015272
link,ltc,0.165782
link,xrp,6.707352
link,bch,0.02405267
link,eos,76.79
link,sol,0.10386572
link,dot,6.53005
link,link,1.0
link,xlm,57.558
doge,eth,4.502e-05
doge,btc,1.55e-06
doge,ltc,0.00168732
doge,xrp,0.06826707
doge,bch,0.00024481
doge,eos,0.78156155
doge,sol,0.00105714
doge,dot,0.0664625
doge,link,0.010177
doge,xlm,0.58582499
eos,eth,5.759e-05
eos,btc,1.99e-06
eos,ltc,0.00215855
eos,xrp,0.08733269
eos,bch,0.00031318
eos,eos,1.0
eos,sol,0.00135238
eos,dot,0.08502413
eos,link,0.01301923
eos,xlm,0.74943405
eth,eth,1.0
eth,btc,0.03453313
eth,ltc,37.485554
eth,xrp,1517.0
eth,bch,5.438634
eth,eos,17363.0
eth,sol,23.485444
eth,dot,1477.0
eth,link,226.093
eth,xlm,13015.0
ltc,eth,0.02667318
ltc,btc,0.00092097
ltc,ltc,1.0
ltc,xrp,40.447095
ltc,bch,0.14504393
ltc,eos,463.062
ltc,sol,0.62633759
ltc,dot,39.377916
ltc,link,6.029703
ltc,xlm,347.091
dot,eth,0.00067729
dot,btc,2.339e-05
dot,ltc,0.02538498
dot,xrp,1.027047
dot,bch,0.00368301
dot,eos,11.758241
dot,sol,0.01590419
dot,dot,1.0
dot,link,0.1531084
dot,xlm,8.813472
xrp,eth,0.00065938
xrp,btc,2.277e-05
xrp,ltc,0.02471339
xrp,xrp,1.0
xrp,bch,0.00358557
xrp,eos,11.447166
xrp,sol,0.01548343
xrp,dot,0.97344514
xrp,link,0.14905778
xrp,xlm,8.580304
sol,eth,0.04259029
sol,btc,0.00147056
sol,ltc,1.596282
sol,xrp,64.584
sol,bch,0.23159835
sol,eos,739.393
sol,sol,1.000102
sol,dot,62.877
sol,link,9.627905
sol,xlm,554.217
xlm,eth,7.684e-05
xlm,btc,2.65e-06
xlm,ltc,0.00287988
xlm,xrp,0.11651679
xlm,bch,0.00041783
xlm,eos,1.333953
xlm,sol,0.0018043
xlm,dot,0.11343678
xlm,link,0.01736989
xlm,xlm,1.0
trx,eth,8.995e-05
trx,btc,3.11e-06
trx,ltc,0.00337116
trx,xrp,0.13639331
trx,bch,0.00048911
trx,eos,1.561511
trx,sol,0.0021121
trx,dot,0.13278788
trx,link,0.02033301
trx,xlm,1.170441
